Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Panzer Dragoon Orta,XB,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26,90,41,8.5,64,Smilebit,T
Castlevania: Harmony of Dissonance,GBA,2002,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0,0.26,87,27,8.2,39,KCET,T
Nickelodeon Party Blast,XB,2002,Misc,Infogrames,0.16,0.05,0,0.01,0.22,19,4,4.3,7,Data Design Interactive,E
NCAA Football 2003,GC,2002,Sports,Electronic Arts,0.16,0.04,0,0.01,0.21,91,11,8.1,9,EA Sports,E
BloodRayne,XB,2002,Shooter,Universal Interactive,0.16,0.05,0,0.01,0.21,76,20,7.5,6,Terminal Reality,M
BeyBlade VForce: Super Tournament Battle,GC,2002,Action,Atari,0.16,0.04,0,0.01,0.21,33,6,7.5,18,Takara,E
Spy Hunter,GC,2002,Racing,Midway Games,0.16,0.04,0,0.01,0.2,71,16,tbd,,Point of View,T
"Monsters, Inc.",PS2,2002,Adventure,Sony Computer Entertainment,0.15,0.12,0,0.04,0.32,52,15,7.2,10,Artificial Mind and Movement,E
Star Wars Racer Revenge,PS2,2002,Racing,LucasArts,0.15,0.12,0,0.04,0.31,73,34,8.5,11,Rainbow Studios,E
Disney's Stitch: Experiment 626,PS2,2002,Action,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,59,17,7.8,4,High Voltage Software,E
Blade II,PS2,2002,Action,Activision,0.15,0.12,0,0.04,0.31,49,21,6.1,14,Mucky Foot Productions,M
Bomberman Generation,GC,2002,Adventure,Vivendi Games,0.15,0.04,0.06,0.01,0.25,81,19,8.5,15,Hudson,E
Britney's Dance Beat,GBA,2002,Misc,THQ,0.15,0.06,0,0,0.22,53,14,7.4,5,Art,E
NHL 2003,XB,2002,Sports,Electronic Arts,0.15,0.04,0,0.01,0.21,80,12,7.9,12,EA Sports,E
Power Rangers: Wild Force,GBA,2002,Action,THQ,0.15,0.05,0,0,0.21,55,4,6.9,8,Natsume,E
Robotech: The Macross Saga,GBA,2002,Shooter,TDK Mediactive,0.15,0.06,0,0,0.21,61,8,6.5,4,Lucky Chicken,E
Mary-Kate and Ashley: Girls Night Out,GBA,2002,Misc,Acclaim Entertainment,0.15,0.05,0,0,0.2,75,5,tbd,,Powerhead Games,E
Mat Hoffman's Pro BMX 2,XB,2002,Sports,Activision,0.15,0.04,0,0.01,0.2,75,16,tbd,,Rainbow Studios,T
Baldur's Gate: Dark Alliance,XB,2002,Role-Playing,Virgin Interactive,0.15,0.04,0,0.01,0.2,83,25,8.3,26,Snowblind Studios,T
SpongeBob SquarePants: Revenge of the Flying Dutchman,GC,2002,Platform,THQ,0.15,0.04,0,0.01,0.2,66,4,8.3,10,Big Sky Software,E
MLB SlugFest 20-03,XB,2002,Sports,Midway Games,0.15,0.04,0,0.01,0.2,79,9,7.8,5,Gratuitous Games,E
NBA 2K2,XB,2002,Sports,Sega,0.15,0.04,0,0.01,0.2,90,17,7.6,5,Visual Concepts,E
The Thing,XB,2002,Adventure,Vivendi Games,0.15,0.04,0,0.01,0.2,78,21,6.6,14,Computer Artworks,M
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,0.15,0.04,0,0.01,0.19,50,9,8.9,10,Capcom,E
Big Mutha Truckers,XB,2002,Racing,Empire Interactive,0.15,0.04,0,0.01,0.19,59,12,4.3,9,Eutechnyx,T
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70,23,8.7,19,CyberConnect2,T
Grandia II,PS2,2002,Role-Playing,Ubisoft,0.14,0.11,0,0.04,0.29,71,19,8.6,31,Game Arts,T
Shrek Super Party,PS2,2002,Misc,TDK Mediactive,0.14,0.11,0,0.04,0.29,30,4,5.1,17,Mass Media,E
NFL Blitz 20-02,PS2,2002,Sports,Midway Games,0.14,0.11,0,0.04,0.28,76,22,8.9,15,Midway,E
NHL Hitz 20-03,PS2,2002,Sports,Midway Games,0.14,0.11,0,0.04,0.28,82,19,8.4,11,Midway,E
Myst III: Exile,PS2,2002,Adventure,Ubisoft,0.14,0.11,0,0.04,0.28,57,9,7,4,Presto Studios,E
Genma Onimusha,XB,2002,Action,Capcom,0.14,0.04,0.05,0.01,0.24,83,27,8.6,10,Capcom,M
Crazy Taxi 3: High Roller,XB,2002,Racing,Sega,0.14,0.04,0.02,0.01,0.2,69,33,8.5,13,Hitmaker,T
Frogger's Adventures 2: The Lost Wand,GBA,2002,Adventure,Konami Digital Entertainment,0.14,0.05,0,0,0.19,75,4,tbd,,Konami,E
SSX Tricky,GBA,2002,Sports,Electronic Arts,0.14,0.05,0,0,0.19,66,9,tbd,,Visual Impact,E
Dinotopia: The Timestone Pirates,GBA,2002,Action,TDK Core,0.14,0.05,0,0,0.19,64,9,tbd,,RFX Interactive,E
2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,79,17,9,4,Software Creations,E
Blood Omen 2,XB,2002,Action,Eidos Interactive,0.14,0.04,0,0.01,0.19,76,22,9,9,Crystal Dynamics,M
Lunar Legend,GBA,2002,Role-Playing,Media Rings,0.14,0.05,0,0,0.19,79,20,7.8,8,Magic Rings,E
Gauntlet: Dark Legacy,GC,2002,Action,Midway Games,0.14,0.04,0,0,0.18,60,20,9.1,16,Midway,T
Bloody Roar: Primal Fury,GC,2002,Fighting,Activision,0.14,0.04,0,0,0.18,75,27,8.5,20,Eighting/Raizing,T
Ty the Tasmanian Tiger,XB,2002,Platform,Electronic Arts,0.14,0.04,0,0.01,0.18,68,13,8.5,11,Krome Studios,E
Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1,72,16,9.3,54,Omega Force,T
Way of the Samurai,PS2,2002,Action,Eidos Interactive,0.13,0.1,0.25,0.03,0.51,74,22,8.2,19,Acquire,M
Pro Race Driver,PS2,2002,Racing,Codemasters,0.13,0.1,0,0.03,0.27,81,22,8.5,20,Codemasters,T
Reign of Fire,PS2,2002,Shooter,BAM! Entertainment,0.13,0.1,0,0.03,0.27,56,16,7,4,Kuju Entertainment,M
Drakan: The Ancients' Gates,PS2,2002,Adventure,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26,78,31,9,39,Surreal Software,M
Riding Spirits,PS2,2002,Racing,BAM! Entertainment,0.13,0.1,0,0.03,0.26,59,14,9,17,Spike,E
Evolution Skateboarding,PS2,2002,Sports,Konami Digital Entertainment,0.13,0.1,0,0.03,0.26,44,14,6.7,9,Konami,T
JSRF: Jet Set Radio Future,XB,2002,Action,Sega,0.13,0.04,0.03,0.01,0.21,88,36,8.2,102,Smilebit,T
The Scorpion King: Sword of Osiris,GBA,2002,Action,Vivendi Games,0.13,0.05,0,0,0.19,72,14,tbd,,WayForward,E
NFL 2K2,XB,2002,Sports,Sega,0.13,0.04,0,0.01,0.18,87,18,tbd,,Visual Concepts,E
Virtua Tennis,GBA,2002,Sports,Atari,0.13,0.05,0,0,0.18,83,14,tbd,,Altron,E
Atari Anniversary Advance,GBA,2002,Misc,Atari,0.13,0.05,0,0,0.18,75,7,tbd,,Digital Eclipse,E
Gauntlet: Dark Legacy,XB,2002,Action,Midway Games,0.13,0.04,0,0.01,0.17,54,9,8.9,10,Midway,T
Gunvalkyrie,XB,2002,Shooter,Infogrames,0.13,0.04,0,0.01,0.17,73,28,7.3,10,Smilebit,T
Shrek Extra Large,GC,2002,Platform,TDK Mediactive,0.13,0.03,0,0,0.17,36,6,5.6,23,Digital Illusions,T
Robotech: Battlecry,GC,2002,Shooter,TDK Mediactive,0.13,0.03,0,0,0.16,74,11,8.4,5,Vicious Cycle,T
World Soccer Winning Eleven 6 International,PS2,2002,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99,93,24,9.1,65,KCET,E
Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,82,31,8.4,32,SCE Japan Studio,E
WipEout Fusion,PS2,2002,Racing,Sony Computer Entertainment,0.12,0.1,0,0.03,0.25,83,21,8.5,43,Studio Liverpool,E
NCAA College Basketball 2K3,PS2,2002,Sports,Sega,0.12,0.09,0,0.03,0.24,83,17,8,6,Kush Games,E
Britney's Dance Beat,PS2,2002,Misc,THQ,0.12,0.09,0,0.03,0.24,63,20,4.8,20,Metro Graphics,E
Sega GT 2002,XB,2002,Racing,Sega,0.12,0.03,0.03,0.01,0.19,82,24,8.2,24,Wow Entertainment,E
Wolfenstein 3D,GBA,2002,Shooter,BAM! Entertainment,0.12,0.04,0,0,0.17,57,9,6,7,Stalker Entertainment,M
NBA 2K3,GC,2002,Sports,Sega,0.12,0.03,0,0,0.16,84,11,tbd,,Visual Concepts,E
NASCAR Heat 2002,GBA,2002,Racing,Infogrames,0.12,0.04,0,0,0.16,52,4,tbd,,Crawfish Interactive,E
All-Star Baseball 2003,GC,2002,Sports,Acclaim Entertainment,0.12,0.03,0,0,0.15,83,16,8,6,Acclaim,E
Top Gun: Combat Zones,GC,2002,Simulation,Titus,0.12,0.03,0,0,0.15,59,10,7.1,7,Titus Software,E
Knockout Kings 2003,GC,2002,Sports,Electronic Arts,0.12,0.03,0,0,0.15,78,13,6.5,4,EA Sports,T
Lowrider,PS2,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03,0.26,46,14,8.4,11,Pacific Century Cyber Works,T
NHL FaceOff 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,55,20,tbd,,989 Sports,E
NCAA GameBreaker 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,53,19,tbd,,989 Sports,E
The Scorpion King: Rise of the Akkadian,PS2,2002,Action,Universal Interactive,0.11,0.09,0,0.03,0.23,47,12,7.2,6,VU Games,T
NBA ShootOut 2003,PS2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,62,22,5.9,8,SCEA,E
Wreckless: ThE YaKuza MisSiOns,PS2,2002,Racing,Activision,0.11,0.08,0,0.03,0.22,60,16,tbd,,Stealth Studios,T
Whirl Tour,PS2,2002,Sports,Crave Entertainment,0.11,0.09,0,0.03,0.22,58,9,7,5,Papaya Studios,E
Legion: The Legend of Excalibur,PS2,2002,Action,Midway Games,0.11,0.09,0,0.03,0.22,51,21,7,6,7 Studios,M
Herdy Gerdy,PS2,2002,Adventure,Eidos Interactive,0.11,0.08,0,0.03,0.22,69,24,5,12,Core Design Ltd.,E
Mat Hoffman's Pro BMX 2,GBA,2002,Sports,Activision,0.11,0.04,0,0,0.16,82,5,tbd,,HotGen,E
He-Man: Power of Grayskull,GBA,2002,Action,TDK Mediactive,0.11,0.04,0,0,0.16,50,8,tbd,,Taniko,E
All-Star Baseball 2003,GBA,2002,Sports,Acclaim Entertainment,0.11,0.04,0,0,0.15,77,6,tbd,,Software Creations,E
Serious Sam,XB,2002,Shooter,Take-Two Interactive,0.11,0.03,0,0.01,0.15,75,22,8.2,16,Croteam,M
Street Fighter Alpha 3,GBA,2002,Fighting,Capcom,0.11,0.04,0,0,0.15,83,17,7.8,10,Crawfish Interactive,T
MLB SlugFest 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0,0,0.15,80,10,7.5,4,Gratuitous Games,E
Rocky,XB,2002,Fighting,Rage Software,0.11,0.03,0,0.01,0.15,74,22,7.3,6,Rage Software,T
The Terminator: Dawn of Fate,XB,2002,Action,Atari,0.11,0.03,0,0.01,0.15,53,19,5.2,5,Paradigm Entertainment,T
NFL Blitz 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0,0,0.14,72,11,tbd,,Point of View,E
4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0,0,0.14,56,7,tbd,,Terminal Reality,E
Dead to Rights,GC,2002,Shooter,Electronic Arts,0.11,0.03,0,0,0.14,77,16,8.7,7,Namco,M
NCAA College Basketball 2K3,XB,2002,Sports,Sega,0.11,0.03,0,0.01,0.14,84,12,8.4,5,Kush Games,E
Enclave,XB,2002,Adventure,Swing! Entertainment,0.11,0.03,0,0.01,0.14,66,28,8.4,13,Starbreeze,M
NFL Blitz 20-03,XB,2002,Sports,Midway Games,0.11,0.03,0,0.01,0.14,72,12,7.8,4,Point of View,E
Baldur's Gate: Dark Alliance,GC,2002,Role-Playing,Virgin Interactive,0.11,0.03,0,0,0.14,79,10,7.7,22,High Voltage Software,T
Rayman Arena,GC,2002,Racing,Ubisoft,0.11,0.03,0,0,0.14,60,10,7.2,6,Ubisoft,E
Unlimited Saga,PS2,2002,Role-Playing,Atari,0.1,0.08,0.56,0.03,0.77,45,26,3,29,SquareSoft,T
Clock Tower 3,PS2,2002,Adventure,Capcom,0.1,0.08,0.12,0.03,0.33,69,28,7.6,38,SunSoft,M
Deus Ex: The Conspiracy,PS2,2002,Action,Eidos Interactive,0.1,0.08,0,0.03,0.21,81,25,8.9,49,Ion Storm,M
Summoner 2,PS2,2002,Role-Playing,THQ,0.1,0.08,0,0.03,0.21,76,20,8.3,22,Volition Inc.,T
NHL 2K3,PS2,2002,Sports,Sega,0.1,0.08,0,0.03,0.21,89,25,7.8,17,Treyarch,E
Conflict Zone,PS2,2002,Strategy,Ubisoft,0.1,0.08,0,0.03,0.21,47,7,7.4,8,MASA Group,T
Looney Tunes: Space Race,PS2,2002,Racing,Infogrames,0.1,0.08,0,0.03,0.2,62,14,tbd,,Tantalus Interactive,E
Lost Kingdoms,GC,2002,Role-Playing,Activision,0.1,0.02,0.04,0,0.17,72,22,8,15,From Software,T
Star Wars: Jedi Power Battles,GBA,2002,Action,THQ,0.1,0.04,0,0,0.14,58,8,tbd,,HotGen,T
Tomb Raider: The Prophecy,GBA,2002,Action,Ubisoft,0.1,0.04,0,0,0.14,66,20,8.8,13,Ubisoft Milan,T
Legends of Wrestling,XB,2002,Fighting,Acclaim Entertainment,0.1,0.03,0,0,0.14,65,10,5.8,4,Acclaim,T
X-Men: Next Dimension,GC,2002,Fighting,Activision,0.1,0.03,0,0,0.13,63,17,8.2,11,Exakt,T
Shrek Super Party,XB,2002,Misc,TDK Mediactive,0.1,0.03,0,0,0.13,33,9,8,11,Mass Media,E
Baseball Advance,GBA,2002,Sports,Sega,0.1,0.04,0,0,0.13,80,16,7.8,5,Smilebit,E
Frogger Beyond,GC,2002,Platform,Konami Digital Entertainment,0.1,0.03,0,0,0.13,60,6,7.2,5,Konami,E
Legends of Wrestling,GC,2002,Fighting,Acclaim Entertainment,0.1,0.03,0,0,0.13,50,18,6.8,4,Acclaim,T
NHL 2003,GC,2002,Sports,Electronic Arts,0.1,0.03,0,0,0.13,79,13,6.3,4,EA Sports,E
Superman: The Man of Steel,XB,2002,Action,Atari,0.1,0.03,0,0,0.13,44,19,6,11,Circus Freak,T
NightCaster,XB,2002,Action,Microsoft Game Studios,0.1,0.03,0,0,0.13,61,27,5.7,7,Jaleco Entertainment,T
Blade II,XB,2002,Action,Activision,0.1,0.03,0,0,0.13,53,20,4,4,Mucky Foot Productions,M
Guilty Gear X2,PS2,2002,Fighting,Sammy Corporation,0.09,0.07,0.16,0.02,0.35,87,31,8.7,34,Arc System Works,T
Gungrave,PS2,2002,Shooter,Activision,0.09,0.07,0,0.02,0.19,65,28,8.6,16,Seta Corporation,M
La Pucelle: Tactics,PS2,2002,Role-Playing,Tecmo Koei,0.09,0.07,0,0.02,0.19,79,47,8.5,15,Nippon Ichi Software,T
Transworld Surf,PS2,2002,Sports,Atari,0.09,0.07,0,0.02,0.19,76,15,8.5,6,Rockstar San Diego,T
Breath of Fire: Dragon Quarter,PS2,2002,Role-Playing,Capcom,0.09,0.07,0,0.02,0.19,78,28,6.9,35,Capcom,T
NCAA Final Four 2003,PS2,2002,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19,57,16,6,4,989 Sports,E
Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive,0.09,0.07,0,0.02,0.18,67,19,6.8,11,Pyro Studios,T
SEGA Bass Fishing Duel,PS2,2002,Sports,Sega,0.09,0.07,0,0.02,0.17,68,13,tbd,,Wow Entertainment,E
Kelly Slater's Pro Surfer,GBA,2002,Sports,Activision,0.09,0.03,0,0,0.13,72,4,tbd,,HotGen,E
Legends of Wrestling II,XB,2002,Fighting,Acclaim Entertainment,0.09,0.03,0,0,0.13,62,14,tbd,,Acclaim,T
Quantum Redshift,XB,2002,Racing,Microsoft Game Studios,0.09,0.03,0,0,0.13,70,21,8.1,15,Curly Monsters,T
Burnout,XB,2002,Racing,Acclaim Entertainment,0.09,0.03,0,0,0.13,75,13,6.6,12,Criterion Games,E
Legends of Wrestling II,GC,2002,Fighting,Acclaim Entertainment,0.09,0.02,0,0,0.12,59,14,tbd,,Acclaim,T
Galidor: Defenders of the Outer Dimension,GBA,2002,Action,Electronic Arts,0.09,0.03,0,0,0.12,53,5,tbd,,Tiertex Design Studios,E
NBA 2K2,GC,2002,Sports,Sega,0.09,0.02,0,0,0.12,90,13,8,4,Visual Concepts,E
Chase: Hollywood Stunt Driver,XB,2002,Racing,BAM! Entertainment,0.09,0.03,0,0,0.12,60,14,7.4,5,I-Imagine,T
NHL 2K3,XB,2002,Sports,Sega,0.09,0.02,0,0,0.12,89,17,7.1,14,Treyarch,E
Die Hard: Vendetta,GC,2002,Shooter,NDA Productions,0.09,0.02,0,0,0.12,54,23,7,10,Bits Studios,M
Jeremy McGrath Supercross World,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.12,36,14,5.6,5,Acclaim,E
SplashDown,XB,2002,Racing,Atari,0.09,0.02,0,0,0.11,78,15,tbd,,Rainbow Studios,E
Home Run King,GC,2002,Sports,Sega,0.09,0.02,0,0,0.11,66,18,tbd,,Wow Entertainment,E
Capcom vs. SNK 2 EO,GC,2002,Fighting,Capcom,0.09,0.02,0,0,0.11,68,20,8.9,27,Capcom,T
BloodRayne,GC,2002,Shooter,Universal Interactive,0.09,0.02,0,0,0.11,73,17,8.5,4,Terminal Reality,M
18 Wheeler: American Pro Trucker,GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.11,52,17,6.8,8,Acclaim Studios Cheltenham,E
Hot Wheels Velocity X,GC,2002,Racing,THQ,0.09,0.02,0,0,0.11,55,4,6.4,5,Beyond Games,E
Smash Court Tennis Pro Tournament,PS2,2002,Sports,Sony Computer Entertainment,0.08,0.07,0,0.02,0.17,73,15,7.4,10,Namco,E
Silent Scope 3,PS2,2002,Shooter,Konami Digital Entertainment,0.08,0.06,0,0.02,0.16,61,12,tbd,,KCET,M
Taz Wanted,PS2,2002,Platform,Atari,0.08,0.06,0,0.02,0.16,65,7,8.7,9,Blitz Games,E
Shadow Man: 2econd Coming,PS2,2002,Adventure,Acclaim Entertainment,0.08,0.06,0,0.02,0.16,68,24,7.6,8,Acclaim,M
Otogi: Myth of Demons,XB,2002,Action,Sega,0.08,0.02,0.03,0,0.13,80,40,8.5,28,From Software,T
Turok: Evolution,GBA,2002,Shooter,Acclaim Entertainment,0.08,0.03,0,0,0.12,72,8,7,5,RFX Interactive,T
Tom Clancy's Rainbow Six: Rogue Spear,GBA,2002,Shooter,Ubisoft,0.08,0.03,0,0,0.11,76,7,tbd,,Ubisoft Milan,T
Contra Advance: The Alien Wars EX,GBA,2002,Shooter,Konami Digital Entertainment,0.08,0.03,0,0,0.11,70,16,tbd,,Konami,E
Defender,GC,2002,Misc,Midway Games,0.08,0.02,0,0,0.11,66,14,tbd,,Inevitable Entertainment,T
X-Men: Next Dimension,XB,2002,Fighting,Activision,0.08,0.02,0,0,0.11,56,12,tbd,,Paradox Development,T
NBA Jam 2002,GBA,2002,Sports,Acclaim Entertainment,0.08,0.03,0,0,0.11,49,11,tbd,,DC Studios,E
The Scorpion King: Rise of the Akkadian,GC,2002,Action,Universal Interactive,0.08,0.02,0,0,0.11,49,7,tbd,,Point of View,T
NHL Hitz 20-03,XB,2002,Sports,Midway Games,0.08,0.02,0,0,0.11,81,19,8.5,13,Black Box,E
Phantasy Star Collection,GBA,2002,Role-Playing,Atari,0.08,0.03,0,0,0.11,76,20,8.1,7,Digital Eclipse,E
BMX XXX,XB,2002,Sports,Acclaim Entertainment,0.08,0.02,0,0,0.11,58,26,7.8,9,"Z-Axis, Ltd.",M
Gun Metal,XB,2002,Shooter,Rage Software,0.08,0.02,0,0,0.11,63,17,7.6,8,Rage Software,T
Reign of Fire,GC,2002,Shooter,BAM! Entertainment,0.08,0.02,0,0,0.11,54,9,5.9,7,Kuju Entertainment,T
XXX,GBA,2002,Action,Activision,0.08,0.03,0,0,0.11,50,13,5,4,Digital Eclipse,E
Sabrina The Teenage Witch: Potion Commotion,GBA,2002,Action,Ubisoft,0.08,0.03,0,0,0.11,63,5,2.8,6,Ubisoft,E
Minority Report: Everybody Runs,GC,2002,Action,Activision,0.08,0.02,0,0,0.1,53,19,tbd,,Treyarch,T
Beach Spikers: Virtua Beach Volleyball,GC,2002,Sports,Sega,0.08,0.02,0,0,0.1,76,31,8.1,9,Sega AM2,E
Kelly Slater's Pro Surfer,XB,2002,Sports,Activision,0.08,0.02,0,0,0.1,80,15,8,5,Treyarch,E
Hunter: The Reckoning,GC,2002,Action,Virgin Interactive,0.08,0.02,0,0,0.1,70,13,7.6,7,High Voltage Software,M
Grandia Xtreme,PS2,2002,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38,68,16,6.5,15,Game Arts,T
Dino Stalker,PS2,2002,Shooter,Capcom,0.07,0.06,0.08,0.02,0.22,50,18,6.3,8,Capcom,M
Disney Golf,PS2,2002,Sports,Electronic Arts,0.07,0.06,0.02,0.02,0.17,72,10,8.3,7,T&E Soft,E
BMX XXX,PS2,2002,Sports,Acclaim Entertainment,0.07,0.06,0,0.02,0.15,54,14,4.6,17,"Z-Axis, Ltd.",M
Barbarian,PS2,2002,Fighting,Titus,0.07,0.06,0,0.02,0.14,63,22,tbd,,Saffire,T
Micro Machines,PS2,2002,Racing,Atari,0.07,0.05,0,0.02,0.14,54,6,tbd,,Atari,E
Ecco the Dolphin: Defender of the Future,PS2,2002,Adventure,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,71,17,8.5,11,Appaloosa Interactive,E
World Tour Soccer 2003,PS2,2002,Sports,Sony Computer Entertainment,0.07,0.05,0,0.02,0.14,78,21,8.3,7,SCEE London Studio,E
The Operative: No One Lives Forever,PS2,2002,Shooter,Electronic Arts,0.07,0.05,0,0.02,0.14,67,23,8,16,Monolith Productions,T
Pirates: The Legend of Black Kat,PS2,2002,Adventure,Electronic Arts,0.07,0.05,0,0.02,0.14,72,24,7.9,8,Westwood Studios,T
Salt Lake 2002,PS2,2002,Sports,Eidos Interactive,0.07,0.05,0,0.02,0.14,49,11,3.5,6,Attention To Detail,E
Disney's The Jungle Book,GBA,2002,Platform,Ubisoft,0.07,0.03,0,0,0.1,60,4,tbd,,Visual Impact,E
Monster Jam: Maximum Destruction,GBA,2002,Racing,Ubisoft,0.07,0.03,0,0,0.1,58,8,tbd,,UDS,E
Reign of Fire,XB,2002,Shooter,BAM! Entertainment,0.07,0.02,0,0,0.1,54,13,tbd,,Bam Entertainment,M
Minority Report: Everybody Runs,XB,2002,Action,Activision,0.07,0.02,0,0,0.1,54,18,5,4,Treyarch,T
Sneakers,XB,2002,Puzzle,Microsoft Game Studios,0.07,0.02,0,0,0.1,28,13,4.6,8,Media Vision,E
Freekstyle,GC,2002,Racing,Electronic Arts,0.07,0.02,0,0,0.09,78,11,tbd,,Page 44 Studios,E
NFL Blitz 20-02,XB,2002,Sports,Midway Games,0.07,0.02,0,0,0.09,77,17,tbd,,Point of View,E
NFL Blitz 20-02,GC,2002,Sports,Midway Games,0.07,0.02,0,0,0.09,77,9,tbd,,Point of View,E
Bomberman Max 2: Blue Advance,GBA,2002,Puzzle,Vivendi Games,0.07,0.02,0,0,0.09,75,10,tbd,,Hudson,E
Rocky,GC,2002,Fighting,Rage Software,0.07,0.02,0,0,0.09,74,17,tbd,,Rage Software,T
Defender,XB,2002,Misc,Midway Games,0.07,0.02,0,0,0.09,69,15,tbd,,7 Studios,T
New Legends,XB,2002,Action,THQ,0.07,0.02,0,0,0.09,56,22,tbd,,Infinite Machine,T
The Revenge of Shinobi,GBA,2002,Platform,Atari,0.07,0.02,0,0,0.09,51,11,tbd,,3d6 Games,E
Transworld Snowboarding,XB,2002,Sports,Atari,0.07,0.02,0,0,0.09,74,14,9.2,14,Housemarque,T
MotoGP,XB,2002,Racing,THQ,0.07,0.02,0,0,0.09,84,18,8.4,16,Climax Group,E
NASCAR: Dirt to Daytona,GC,2002,Racing,Infogrames,0.07,0.02,0,0,0.09,85,8,7.3,7,Monster Games Inc.,E
Jimmy Neutron: Boy Genius,GC,2002,Platform,THQ,0.07,0.02,0,0,0.09,42,4,5.1,7,Big Sky Software,E
Altered Beast: Guardian of the Realms,GBA,2002,Action,THQ,0.07,0.02,0,0,0.09,63,13,4.8,4,3d6 Games,T
Dynasty Tactics,PS2,2002,Strategy,Tecmo Koei,0.06,0.05,0.16,0.02,0.29,79,14,8.1,31,Koei,T
Rally Fusion: Race of Champions,PS2,2002,Racing,Activision,0.06,0.05,0,0.02,0.13,73,19,tbd,,Climax Group,E
Drome Racers,PS2,2002,Racing,Electronic Arts,0.06,0.05,0,0.02,0.13,57,10,tbd,,Attention To Detail,E
RPG Maker II,PS2,2002,Role-Playing,Enterbrain,0.06,0.05,0,0.02,0.13,65,9,8.8,77,Kuusou Kagaku,E
Sega Soccer Slam,PS2,2002,Sports,Sega,0.06,0.05,0,0.02,0.12,66,9,tbd,,Black Box,E
Pryzm Chapter One: The Dark Unicorn,PS2,2002,Adventure,TDK Mediactive,0.06,0.05,0,0.02,0.12,59,8,5.2,6,Digital Illusions,T
Disney's PK: Out of the Shadows,PS2,2002,Platform,Ubisoft,0.06,0.05,0,0.02,0.12,49,14,5,4,Ubisoft,E
Fireblade,XB,2002,Action,Midway Games,0.06,0.02,0,0,0.08,71,5,tbd,,Kuju Entertainment,T
Outlaw Golf,GC,2002,Sports,TDK Mediactive,0.06,0.02,0,0,0.08,69,14,tbd,,Hypnotix,T
Ultimate Fighting Championship: Throwdown,GC,2002,Fighting,Ubisoft,0.06,0.02,0,0,0.08,67,8,tbd,,Crave,T
Prisoner of War,XB,2002,Adventure,Atari,0.06,0.02,0,0,0.08,64,20,tbd,,Wide Games,T
Driven,GC,2002,Racing,BAM! Entertainment,0.06,0.02,0,0,0.08,55,12,tbd,,Bam Entertainment,T
Swingerz Golf,GC,2002,Sports,Eidos Interactive,0.06,0.02,0,0,0.08,72,11,9.3,4,Telenet,E
The King of Fighters EX2: Howling Blood,GBA,2002,Fighting,Marvelous Interactive,0.06,0.02,0,0,0.08,80,10,9.1,10,Marvelous,T
Dynasty Warriors 3,XB,2002,Action,THQ,0.06,0.02,0,0,0.08,70,11,8.9,20,Omega Force,T
NHL Hitz 20-03,GC,2002,Sports,Midway Games,0.06,0.02,0,0,0.08,82,12,8.4,5,Midway,E
Evolution Worlds,GC,2002,Role-Playing,Ubisoft,0.06,0.02,0,0,0.08,63,20,8,10,Sting,E
Bomberman Jetters,GC,2002,Puzzle,Hudson Soft,0.06,0.02,0,0,0.08,70,21,7.9,10,Hudson,E
FIFA Soccer 2003,GC,2002,Sports,Electronic Arts,0.06,0.02,0,0,0.08,86,12,7.8,10,EA Canada,E
Taz Wanted,GC,2002,Platform,Atari,0.06,0.02,0,0,0.08,61,5,7,5,Blitz Games,E
